"x";"y";"mark"
2.52;79.29;51.8
5.04;74.14;51.8
24.22;85.22;51.8
87;25.35;51.6
92.8;8.07;51.6
49.73;70.6;51.5
50.34;47.65;51.5
18.7;18.78;51.4
68.39;63.35;51.3
98.44;25.55;49.5
26.59;62.17;49.5
35.09;75.92;49.5
53.06;60.79;49.5
10.94;4.32;49.5
2.06;56.92;49.3
15.05;87.52;49.3
88.12;13.71;49.3
83.97;85.71;49.2
92.51;19.32;49.2
68.37;75.2;48.8
95.47;68.55;48.8
2.79;7.89;48.8
62.37;5.41;48.8
6.5;16.16;48.8
6.06;70.99;48.6
23.5;56.58;48.5
31.53;86.99;48.3
82.62;45.33;48.3
13.42;81.49;47.8
88.68;35.76;47.5
99.42;6.12;47.2
55.42;86.41;47
92.77;45.28;47
4.07;63.48;47
101.5;14.15;47
72.61;2.15;47
100.58;14.42;47
96.68;57.09;46.7
54.38;33.36;46.7
14.82;80.02;46.5
53.78;45.76;46.5
32.16;30.55;46.5
52.06;77.91;46.2
81.02;48.83;46.2
75.65;47.5;46.2
16.23;53.9;45.7
93.66;23.16;45.7
25.52;40.45;45.5
83.71;22.64;45.2
28.15;82.03;45
90.57;79.7;45
62.32;83.71;44.5
99.45;76.58;44.5
93.13;24.56;44.5
88.96;81.63;44.5
51.82;43.27;44.5
55.97;67.11;44.5
54.5;64.61;44.5
23.99;45.82;44.5
94.73;13.72;44.2
25.25;77.23;44.2
49.69;41.13;44.2
17.1;86.83;43.7
17.28;81.72;43.7
38.77;62.59;43.4
57.71;25.73;43.4
64.01;82;43.2
10.23;41.72;43.2
53.31;71.58;43.2
5.53;54.51;42.7
78.9;46.33;42.4
93.35;0.31;42.4
34.49;40.86;42.2
16.98;69.35;41.9
9.42;55.87;41.9
92.38;27.73;41.9
3.65;26.13;41.9
30.96;40.08;41.7
66.44;8.65;41.7
53.93;74.79;41.7
40.49;69.7;41.4
57.19;43.84;41.4
89.36;25.58;41.1
102.55;18.44;39.9
97.21;2.67;39.6
100.32;78.89;39.4
63.97;52.85;39.4
102.96;10.25;39.4
10.53;49.67;39.1
101.34;42.81;38.9
95.54;5.61;38.7
99.4;53.59;38.1
92.1;70.56;38.1
48.82;56.33;38.1
100.2;41.48;37.6
58.37;78.48;37.3
78.56;81.52;36.8
5.94;22.98;36.8
81.33;36.68;36.6
89.58;19.87;36.6
22.56;14.52;35.6
34.17;72.96;35.6
19.57;62.4;35.6
101.42;80.71;35.6
42.58;58.15;35.6
34.52;64.05;35.6
98.96;41.8;35.5
58.4;78.47;35.5
56.18;76.54;34.8
53.52;80.15;34.8
73.33;52;34.3
98.29;40.1;33.8
32.09;48.92;33.5
3.11;12.09;33.2
25.69;47.24;33.2
99.98;12.18;33.2
12.09;78.44;33.2
99.91;36.16;32.5
1.79;26.45;32.5
37.01;78.48;32.4
21.8;77.64;32.4
76.01;44.7;31.8
64.88;35.77;31.8
55.43;53;31.8
84.37;16.16;30
7.37;65.01;29.5
15.5;64.68;29.5
96.19;23.17;29.5
31.03;57.65;29.5
28.86;84.97;29.2
90.37;25.7;29.2
100.62;22.24;28.4
100.8;46.34;27.4
23.18;39.97;27.4
93.67;39.87;27.2
44.54;78.63;27.2
0.44;73.64;27.2
100.09;69.35;26.7
53.59;73.96;26.7
44.87;80.21;26
77.1;50.33;25.4
13.93;30.02;24.9
99.25;29.96;24.4
60.97;77.02;24.1
17.01;69.32;23.1
94.84;46.55;22.7
68.64;22.31;11.2
69.83;1.15;8.5
45.2;49.42;8.2
77.6;6.89;8.2
50.89;81.35;8
37;56.96;7.7
37.94;41.35;7.5
20.2;14.52;7.1
88.34;80;7
37.47;64.65;7
71.89;69.02;7
28.84;23.36;6.2
92.07;4.69;5.8
99.96;65.23;5.8
94.21;76.48;5.8
90.2;62.47;5.8
64.41;39.07;5.5
15.13;72.26;5.4
33.38;83.27;5.4
13.37;74.62;5.4
3.19;44.73;5.4
70.81;20.59;5.3
85.23;75.36;5.3
33.06;68.8;5.3
26.19;63.41;4.9
79.58;79.93;4.6
65.01;82.62;4.6
9.95;66.48;4.6
0.03;17.72;4.4
54.98;57.36;4.3
94.03;19.18;4.1
79.87;35.67;4
44.74;82.97;4
42.89;72.52;4
98.09;45.25;3.5
28.18;66.11;3.5
64.59;78.23;3.5
59.78;60.09;3.5
69.6;67.06;3.5
102.88;80.99;3.5
48.53;58.54;3.5
62.05;11.64;1.9
